lat        ,lng          ,
41.737741  ,-87.734887   ,
41.743775  ,"-87.634956	",
42.011165  ,"-87.684790	",
41.74633   ,"-87.658480	",
41.724688  ,"-87.640874	",
41.81474   ,"-87.622128	",
41.942196  ,"-87.716857	",
41.6923    ,"-87.627905	",
41.90969   ,"-87.740844	",
41.810801  ,"-87.603922	",
41.745463  ,"-87.561276	",
41.866164  ,"-87.725720	",
41.754805  ,"-87.670834	",
41.873862  ,"-87.688911	",
41.849366  ,"-87.681607	",
41.866148  ,"-87.726785	",
41.890899  ,"-87.712517	",
41.93345   ,"-87.739749	",
41.706434  ,"-87.639176	",
41.813004  ,"-87.690677	",
41.802661  ,"-87.662382	",
41.898724  ,"-87.689378	",
41.930934  ,"-87.678819	",
41.865163  ,"-87.732481	",
41.904131  ,"-87.749601	",
41.89802   ,"-87.750774	",
41.895869  ,"-87.721207	",
41.898245  ,"-87.713967	",
41.774388  ,"-87.637337	",
41.814127  ,"-87.661121	",
41.797278  ,"-87.653743	",
41.779835  ,"-87.639482	",
41.696825  ,"-87.649159	",
41.960587  ,"-87.758605	",
41.87229   ,"-87.715609	",
41.823629  ,"-87.632779	",
41.732791  ,"-87.579263	",
41.704829  ,"-87.612482	",
41.964352  ,"-87.661001	",
41.847164  ,"-87.713649	",
41.6934    ,"-87.630965	",
41.868165  ,"-87.627440	",
41.882249  ,"-87.764508	",
41.955966  ,"-87.722467	",
41.784436  ,"-87.664339	",
41.902899  ,"-87.726309	",
41.769833  ,"-87.671232	",
41.865594  ,"-87.720105	",
41.876553  ,"-87.763442	",
41.908131  ,"-87.733831	",
41.894822  ,"-87.632134	",
41.915109  ,"-87.648390	",
41.809519  ,"-87.607334	",
41.786441  ,"-87.691460	",
41.789723  ,"-87.658403	",
41.889761  ,"-87.627999	",
41.862406  ,"-87.714640	",
42.012963  ,"-87.700293	",
41.902216  ,"-87.758799	",
41.944359  ,"-87.662200	",
41.899559  ,"-87.749599	",
41.879372  ,"-87.634866	",
41.790023  ,"-87.727972	",
42.014677  ,"-87.704986	",
41.746708  ,"-87.663866	",
41.933582  ,"-87.645517	",
41.75655   ,"-87.592600	",
41.856138  ,"-87.627164	",
41.920939  ,"-87.759737	",
41.857847  ,"-87.663131	",
41.989618  ,"-87.799627	",
41.965673  ,"-87.732983	",
41.788236  ,"-87.763349	",
41.882334  ,"-87.627842	",
41.882029  ,"-87.726763	",
41.770526  ,"-87.635351	",
41.780007  ,"-87.724019	",
41.802751  ,"-87.681823	",
41.952459  ,"-87.748345	",
41.791673  ,"-87.705210	",
41.965387  ,"-87.658339	",
41.749684  ,"-87.642793	",
41.970843  ,"-87.778275	",
41.849046  ,"-87.708830	",
41.747543  ,"-87.563739	",
41.897615  ,"-87.762333	",
41.952335  ,"-87.745566	",
41.916852  ,"-87.806028	",
41.886893  ,"-87.745509	",
41.703847  ,"-87.679120	",
41.950798  ,"-87.831753	",
41.75635   ,"-87.552734	",
41.827436  ,"-87.620006	",
41.785801  ,"-87.694799	",
41.692834  ,"-87.604319	",
41.911478  ,"-87.780182	",
41.701617  ,"-87.629660	",
41.762782  ,"-87.652842	",
41.809209  ,"-87.606556	",
41.744349  ,"-87.664503	",
41.863802  ,"-87.712904	",
41.774873  ,"-87.661652	",
41.769093  ,"-87.581301	",
41.802774  ,"-87.625909	",
41.922417  ,"-87.698510	",
41.938254  ,"-87.789941	",
41.994491  ,"-87.717765	",
41.77615   ,"-87.615523	",
41.755514  ,"-87.642943	",
41.878916  ,"-87.721960	",
41.870823  ,"-87.718748	",
41.924658  ,"-87.712411	",
41.874792  ,"-87.737722	",
41.769449  ,"-87.659088	",
41.946882  ,"-87.677156	",
41.748704  ,"-87.651873	",
41.882554  ,"-87.624384	",
41.883475  ,"-87.627877	",
41.863054  ,"-87.656733	",
41.868381  ,"-87.625847	",
41.877788  ,"-87.701118	",
41.847644  ,"-87.701452	",
41.893138  ,"-87.637753	",
41.902765  ,"-87.715132	",
41.758175  ,"-87.549934	",
41.750722  ,"-87.611276	",
41.791641  ,"-87.662083	",
41.769257  ,"-87.581306	",
41.751326  ,"-87.552890	",
41.873699  ,"-87.704705	",
41.771935  ,"-87.686190	",
41.945216  ,"-87.665627	",
41.88465   ,"-87.627915	",
41.967539  ,"-87.713340	",
41.675341  ,"-87.633401	",
41.808451  ,"-87.613856	",
42.004791  ,"-87.670575	",
41.890061  ,"-87.707274	",
41.9039    ,"-87.769697	",
41.883475  ,"-87.627877	",
41.906794  ,"-87.726426	",
41.960199  ,"-87.709441	",
41.774345  ,"-87.603360	",
41.899095  ,"-87.717995	",
41.953443  ,"-87.744957	",
41.685911  ,"-87.613671	",
41.752267  ,"-87.551670	",
41.774457  ,"-87.603363	",
41.855814  ,"-87.717588	",
41.880384  ,"-87.754136	",
41.911729  ,"-87.785085	",
41.877017  ,"-87.731312	",
41.703417  ,"-87.631427	",
41.845591  ,"-87.645436	",
41.759869  ,"-87.564373	",
41.897908  ,"-87.711513	",
41.748509  ,"-87.622933	",
41.96881   ,"-87.675111	",
41.794201  ,"-87.755012	",
41.723593  ,"-87.682147	",
41.797963  ,"-87.728198	",
41.975753  ,"-87.707980	",
41.859747  ,"-87.630271	",
41.890532  ,"-87.723502	",
41.881908  ,"-87.704728	",
41.905316  ,"-87.641721	",
41.782293  ,"-87.600506	",
41.83706   ,"-87.652129	",
41.781118  ,"-87.720375	",
41.965584  ,"-87.760800	",
41.878936  ,"-87.755012	",
41.928219  ,"-87.673456	",
41.740188  ,"-87.566066	",
41.87678   ,"-87.745488	",
41.938925  ,"-87.739802	",
42.018492  ,"-87.680454	",
41.865288  ,"-87.727590	",
41.739448  ,"-87.716708	",
41.898101  ,"-87.726167	",
41.856299  ,"-87.705382	",
41.937642  ,"-87.723855	",
41.841348  ,"-87.617558	",
41.930077  ,"-87.718855	",
41.841103  ,"-87.626853	",
41.910052  ,"-87.763019	",
41.958017  ,"-87.730981	",
41.860911  ,"-87.695745	",
41.965426  ,"-87.655183	",
41.865288  ,"-87.727590	",
